formula_pretty,energy_above_hull,Delta_R_mm,match_atoms,dop_element,matrix_element,dop_oxi,matrix_oxi,Delta_R_md,abs_Delta_R_md,abs_Delta_eln,coordination,name_maxr,name_mine,concentration,electrons_nuber,E_mine_UP,E_maxr_UP,calc_name_mine,calc_name_maxr,d_energy_dft,concentration_dft,bond_energy_dft
Li7La3Zr2O12,0.01,0.05,"['Li', 'Zr']",Nb,Zr,5.0,4.0,-0.11,0.11,0.27,6,POSCAR_mp-942733_Li7La3Zr2O12_Nb_Zr_max_r,POSCAR_mp-942733_Li7La3Zr2O12_Nb_Zr_min_e,0.07,1088.0,-1366.0675048828125,-1366.015869140625,mp-942733_Li7La3Zr2O12_Nb_Zr_min_e_c6.1mm.1,mp-942733_Li7La3Zr2O12_Nb_Zr_max_r_c6.1mm.1,1.197205352499907,0.001774716208776242,No
Li4SiO4,0.0,0.56,"['Li', 'Si']",As,Si,5.0,4.0,0.29,0.29,0.28,4,POSCAR_mp-11737_Li4SiO4_As_Si_max_r,POSCAR_mp-11737_Li4SiO4_As_Si_min_e,0.14,256.0,-423.2121276855469,-422.3782958984375,mp-11737_Li4SiO4_As_Si_min_e_c4.1mm.1,mp-11737_Li4SiO4_As_Si_max_r_c4.1mm.1,1.200329849999946,0.0018630977156425198,-0.8473404300000311
Li3GaN2,0.0,0.2,"['Li', 'Ga']",Mn,Ga,4.0,3.0,-0.17,0.17,0.26,4,POSCAR_mp-3887_Li3GaN2_Mn_Ga_max_r,POSCAR_mp-3887_Li3GaN2_Mn_Ga_min_e,0.07,259.0,-461.4114685058594,-461.4416809082031,mp-3887_Li3GaN2_Mn_Ga_min_e_c4.1mm.1,mp-3887_Li3GaN2_Mn_Ga_max_r_c4.1mm.1,1.265798171617659,0.0011027088327530076,-0.04956490000000713
LiAlO2,0.01,0.34,"['Li', 'Al']",Cr,Al,4.0,3.0,0.05,0.05,0.05,4,POSCAR_mp-3427_LiAlO2_Cr_Al_max_r,POSCAR_mp-3427_LiAlO2_Cr_Al_min_e,0.03,514.0,-841.705078125,-841.4437255859375,mp-3427_LiAlO2_Cr_Al_min_e_c4.1mm.1,mp-3427_LiAlO2_Cr_Al_max_r_c4.1mm.1,1.307514032222219,0.0004995385584635137,-0.4762385899999799
LiBeN,0.0,0.73,"['Li', 'Be']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-29463_LiBeN_Mg_Li_max_r,POSCAR_mp-29463_LiBeN_Mg_Li_min_e,0.03,256.0,-530.5731201171875,-530.2911987304688,mp-29463_LiBeN_Mg_Li_min_e_c4.1mm.1,mp-29463_LiBeN_Mg_Li_max_r_c4.1mm.1,1.310674299999917,0.0004904440176989356,-0.42134371999998166
Li5AlO4,0.0,0.34,"['Li', 'Al']",Cr,Al,4.0,3.0,0.05,0.05,0.05,4,POSCAR_mp-7535_Li5AlO4_Cr_Al_max_r,POSCAR_mp-7535_Li5AlO4_Cr_Al_min_e,0.07,514.0,-878.97119140625,-878.0576782226562,mp-7535_Li5AlO4_Cr_Al_min_e_c4.1mm.1,mp-7535_Li5AlO4_Cr_Al_max_r_c4.1mm.1,1.3191445399999644,0.0010439684150292537,-0.9391383699999096
Li8SiO6,0.0,0.56,"['Li', 'Si']",As,Si,5.0,4.0,0.29,0.29,0.28,4,POSCAR_mp-28549_Li8SiO6_As_Si_max_r,POSCAR_mp-28549_Li8SiO6_As_Si_min_e,0.14,384.0,-650.83544921875,-650.3985595703125,mp-28549_Li8SiO6_As_Si_min_e_c4.1mm.1,mp-28549_Li8SiO6_As_Si_max_r_c4.1mm.1,1.3612310899999898,0.0010339038730230786,-0.4386431799999855
Li5AlO4,0.0,0.34,"['Li', 'Al']",Mn,Al,4.0,3.0,0.0,0.0,0.06,4,POSCAR_mp-15960_Li5AlO4_Mn_Al_max_r,POSCAR_mp-15960_Li5AlO4_Mn_Al_min_e,0.14,259.0,-436.6548156738281,-436.1493225097656,mp-15960_Li5AlO4_Mn_Al_min_e_c4.1mm.1,mp-15960_Li5AlO4_Mn_Al_max_r_c4.1mm.1,1.3931717274999755,0.0006788457226713905,-0.6432116900000437
Li5AlO4,0.0,0.34,"['Li', 'Al']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-15960_Li5AlO4_Mg_Li_max_r,POSCAR_mp-15960_Li5AlO4_Mg_Li_min_e,0.03,256.0,-438.1613159179688,-437.65667724609375,mp-15960_Li5AlO4_Mg_Li_min_e_c4.1mm.1,mp-15960_Li5AlO4_Mg_Li_max_r_c4.1mm.1,1.4116733849999505,0.00027262770780127663,-0.5203241899999966
Li5AlO4,0.0,0.34,"['Li', 'Al']",Ge,Al,4.0,3.0,0.0,0.0,0.4,4,POSCAR_mp-7535_Li5AlO4_Ge_Al_max_r,POSCAR_mp-7535_Li5AlO4_Ge_Al_min_e,0.07,512.0,-877.1165161132812,-876.1815795898438,mp-7535_Li5AlO4_Ge_Al_min_e_c4.1mm.1,mp-7535_Li5AlO4_Ge_Al_max_r_c4.1mm.1,1.4329715424999634,0.0005386142383744731,-0.9431600599999683
